Role,Title,Company,Location,Salary,Description,Salary_Min,Salary_Max,Average_Salary
Software Engineer,Signals Software Engineer,Lockheed Martin,"Harmans, Anne Arundel County",123823.45 - 123823.45,"Job ID: 681944BR Date posted: Mar. 21, 2025 Description: This position may be eligible for a $25K sign on bonus for external hires What We're Doing: L...",123823.45,123823.45,123823.45
Software Engineer,Cyber Software Engineer,Lockheed Martin,"Fort George G Meade, Anne Arundel County",139447.53 - 139447.53,"Job ID: 682998BR Date posted: Dec. 24, 2024 Description: This position is participating in our External Referral Program . If you know somebody who ma...",139447.53,139447.53,139447.53
Software Engineer,Cyber Software Engineer Staff,Lockheed Martin,"Savage, Anne Arundel County",126307.09 - 126307.09,"Job ID: 685238BR Date posted: Mar. 20, 2025 Description: This position may be eligible for a $25K sign on bonus for external hires What We're Doing: L...",126307.09,126307.09,126307.09
Software Engineer,Cyber Software Engineer Sr,Lockheed Martin,"Savage, Anne Arundel County",139645.03 - 139645.03,"Job ID: 685235BR Date posted: Mar. 22, 2025 Description: This position may be eligible for a $25K sign on bonus for external hires What We're Doing: L...",139645.03,139645.03,139645.03
Software Engineer,Scene Generation/Software Engineer,BlueHalo LLC,"Redstone Arsenal, Madison County",64259.04 - 64259.04,"BlueHalo is seeking a Jr., Mid. or Sr. level Engineer/Scientist with experience performing real-time simulation and scene image generation programming...",64259.04,64259.04,64259.04
Software Engineer,RF Software Engineer,Lockheed Martin,"Harmans, Anne Arundel County",125913.8 - 125913.8,"Job ID: 683845BR Date posted: Mar. 22, 2025 Description: This position may be eligible for a $25K sign on bonus for external hires WHAT WE'RE DOING Lo...",125913.8,125913.8,125913.8
Software Engineer,RF Software Engineer,Lockheed Martin,"Harmans, Anne Arundel County",124349.11 - 124349.11,"Job ID: 683844BR Date posted: Mar. 22, 2025 Description: This position may be eligible for a $25K sign on bonus for external hires What We're Doing: L...",124349.11,124349.11,124349.11
Software Engineer,Software Engineer,BOEING,"Maryland Heights, Saint Louis County",131875.52 - 131875.52,"Job Description At Boeing, we innovate and collaborate to make the world a better place. We’re committed to fostering an environment for every teammat...",131875.52,131875.52,131875.52
Software Engineer,Software Engineer,BOEING,"Robertson, Saint Louis County",138669.08 - 138669.08,"Job Description At Boeing, we innovate and collaborate to make the world a better place. We’re committed to fostering an environment for every teammat...",138669.08,138669.08,138669.08
Software Engineer,Senior Software Engineer,BOEING,"Robertson, Saint Louis County",173688.31 - 173688.31,"Job Description At Boeing, we innovate and collaborate to make the world a better place. We’re committed to fostering an environment for every teammat...",173688.31,173688.31,173688.31
Software Engineer,Lead Software Engineer,BOEING,"Maryland Heights, Saint Louis County",151174.11 - 151174.11,"Job Description At Boeing, we innovate and collaborate to make the world a better place. We’re committed to fostering an environment for every teammat...",151174.11,151174.11,151174.11
Software Engineer,Associate Software Engineer,BOEING,"Maryland Heights, Saint Louis County",109030.02 - 109030.02,"Job Description At Boeing, we innovate and collaborate to make the world a better place. We’re committed to fostering an environment for every teammat...",109030.02,109030.02,109030.02
Software Engineer,Senior Software Engineer,BOEING,"Kinloch, Saint Louis County",139301.45 - 139301.45,"Job Description At Boeing, we innovate and collaborate to make the world a better place. We’re committed to fostering an environment for every teammat...",139301.45,139301.45,139301.45
Software Engineer,Software Engineers,L3Harris Technologies,"Greenville, Hunt County",87647.95 - 87647.95,L3Harris is dedicated to recruiting and developing high-performing talent who are passionate about what they do. Our employees are unified in a shared...,87647.95,87647.95,87647.95
Software Engineer,Software Engineers,L3Harris Technologies,"Plano, Collin County",98071.5 - 98071.5,L3Harris is dedicated to recruiting and developing high-performing talent who are passionate about what they do. Our employees are unified in a shared...,98071.5,98071.5,98071.5
Software Engineer,Software Engineers,L3Harris Technologies,"Rockwall, Rockwall County",86619.13 - 86619.13,L3Harris is dedicated to recruiting and developing high-performing talent who are passionate about what they do. Our employees are unified in a shared...,86619.13,86619.13,86619.13
